日期,开盘,收盘,最高,最低,成交量
2023-01-03,11.87,12.13,12.15,11.8,129277
2023-01-04,12.08,12.1,12.16,11.87,99109
2023-01-05,12.05,12.34,12.65,11.93,291911
2023-01-06,12.26,12.14,12.41,12.14,119227
2023-01-09,12.3,12.55,12.58,12.23,234333
2023-01-10,12.53,12.64,12.85,12.37,206875
2023-01-11,12.55,12.48,12.74,12.47,122246
2023-01-12,12.52,12.41,12.59,12.35,107273
2023-01-13,12.49,12.49,12.63,12.37,148381
2023-01-16,12.55,12.45,12.7,12.38,155265
2023-01-17,12.44,12.17,12.49,12.02,262845
2023-01-18,12.18,12.1,12.3,12.05,133788
2023-01-19,12.13,12.35,12.52,11.96,175344
2023-01-20,12.34,12.71,12.76,12.34,281537
2023-01-30,12.77,12.44,12.9,12.42,283009
2023-01-31,12.41,12.48,12.66,12.35,144111
2023-02-01,12.44,12.55,12.78,12.4,250842
2023-02-02,12.63,12.54,12.79,12.42,286716
2023-02-03,12.43,12.15,12.44,11.92,330334
2023-02-06,11.95,11.78,12.0,11.73,200889
2023-02-07,12.05,12.21,12.33,11.95,295610
2023-02-08,12.27,11.96,12.27,11.91,172090
2023-02-09,11.98,12.12,12.14,11.86,144678
2023-02-10,12.04,11.96,12.11,11.89,136843
2023-02-13,11.97,11.92,11.98,11.76,171091
2023-02-14,11.92,12.06,12.08,11.82,184835
2023-02-15,12.06,11.99,12.15,11.92,136728
2023-02-16,11.94,11.69,11.99,11.6,223688
2023-02-17,11.7,11.55,11.76,11.53,150033
2023-02-20,11.57,11.64,11.65,11.45,142201
2023-02-21,11.65,11.72,11.75,11.6,137717
2023-02-22,11.69,11.45,11.69,11.43,225531
2023-02-23,11.46,11.51,11.53,11.46,102425
2023-02-24,11.51,11.44,11.52,11.33,175834
2023-02-27,11.4,11.27,11.41,11.25,185876
2023-02-28,11.28,11.36,11.36,11.23,121041
2023-03-01,11.36,11.39,11.41,11.29,160871
2023-03-02,11.4,11.32,11.41,11.27,166326
2023-03-03,11.34,11.38,11.38,11.29,156028
2023-03-06,11.39,11.67,11.67,11.38,383004
2023-03-07,11.61,11.72,11.97,11.57,496672
2023-03-08,11.5,11.52,11.61,11.35,220249
2023-03-09,11.52,11.4,11.56,11.37,126690
2023-03-10,11.42,11.48,11.59,11.4,202782
2023-03-13,11.66,11.75,11.8,11.54,326303
2023-03-14,11.97,12.11,12.27,11.89,779122
2023-03-15,11.85,11.85,12.03,11.72,433008
2023-03-16,11.94,11.99,12.12,11.86,451749
2023-03-17,11.73,11.81,11.85,11.61,407287
2023-03-20,12.06,12.44,12.58,11.9,839086
2023-03-21,12.24,12.15,12.26,12.04,485641
2023-03-22,11.96,12.04,12.1,11.87,346452
2023-03-23,12.1,12.06,12.13,11.85,351762
2023-03-24,12.09,11.75,12.12,11.67,373336
2023-03-27,11.66,11.63,11.7,11.48,289143
2023-03-28,11.59,11.62,11.67,11.51,164261
2023-03-29,11.65,11.4,11.68,11.36,250859
2023-03-30,11.37,11.41,11.44,11.31,140745
2023-03-31,11.45,11.53,11.57,11.44,162239
2023-04-03,11.46,11.52,11.55,11.37,161348
2023-04-04,11.53,11.69,11.75,11.53,294646
2023-04-06,11.81,11.93,12.1,11.8,480222
2023-04-07,11.8,11.92,11.96,11.7,311684
2023-04-10,11.9,11.9,11.96,11.77,209824
2023-04-11,11.89,12.05,12.12,11.81,374398
2023-04-12,11.98,12.04,12.19,11.97,364095
2023-04-13,11.98,12.08,12.25,11.95,333091
2023-04-14,12.25,12.09,12.33,12.0,342315
2023-04-17,11.85,11.99,12.02,11.76,224767
2023-04-18,11.88,11.92,12.12,11.81,189338
2023-04-19,11.93,11.68,12.04,11.63,216633
2023-04-20,11.65,11.68,11.7,11.53,142414
2023-04-21,11.63,11.44,11.8,11.42,213943
2023-04-24,11.45,11.11,11.47,11.05,286999
2023-04-25,11.2,11.06,11.36,10.82,215234
2023-04-26,11.06,11.06,11.08,10.88,141791
2023-04-27,11.01,11.17,11.21,10.92,147986
2023-04-28,11.14,11.33,11.39,11.06,156537
2023-05-04,11.57,11.95,12.13,11.57,519449
2023-05-05,11.96,11.87,12.29,11.85,337035
2023-05-08,11.8,11.99,12.02,11.61,290352
2023-05-09,11.85,12.32,12.63,11.71,723772
2023-05-10,12.32,12.09,12.34,12.03,327681
2023-05-11,12.09,12.0,12.2,11.92,250211
2023-05-12,11.95,11.81,12.0,11.77,163532
2023-05-15,11.81,11.73,11.85,11.41,198796
2023-05-16,11.74,11.49,11.77,11.46,139927
2023-05-17,11.42,11.43,11.49,11.37,177307
2023-05-18,11.45,11.49,11.55,11.42,149172
2023-05-19,11.4,11.52,11.53,11.21,145608
2023-05-22,11.52,11.51,11.52,11.37,92437
2023-05-23,11.48,11.37,11.56,11.33,158971
2023-05-24,11.34,11.38,11.44,11.29,85635
2023-05-25,11.26,11.32,11.36,11.17,115572
2023-05-26,11.25,11.31,11.33,11.2,78682
2023-05-29,11.34,11.45,11.45,11.25,116128
2023-05-30,11.48,11.44,11.53,11.36,97584
2023-05-31,11.44,11.52,11.54,11.38,121401
2023-06-01,11.5,11.46,11.55,11.42,132884
2023-06-02,11.47,11.69,11.73,11.37,273540
2023-06-05,11.66,11.55,11.7,11.47,141662
2023-06-06,11.56,11.49,11.61,11.42,122129
2023-06-07,11.48,11.41,11.49,11.34,101371
2023-06-08,11.37,11.46,11.46,11.31,76641
2023-06-09,11.45,11.49,11.51,11.41,73031
2023-06-12,11.45,11.5,11.55,11.37,81917
2023-06-13,11.5,11.62,11.63,11.44,102877
2023-06-14,11.62,11.67,11.7,11.56,135939
2023-06-15,11.64,11.62,11.66,11.46,148665
2023-06-16,11.6,11.61,11.68,11.56,85253
2023-06-19,11.62,11.46,11.64,11.45,113512
2023-06-20,11.45,11.43,11.58,11.37,99812
2023-06-21,11.38,11.42,11.48,11.3,113656
2023-06-26,11.42,11.25,11.6,11.25,172045
